FAULT 2:47.7 S137 | re-cool still-boxed@205,94 n=1 ticks=160 end=risen y=64 startY=60 pos=205,60,94 walls=4/4/4 sky=15 place=49 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:48.1 E100 | jumps=6 @205,59,94 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:49.2 S135 | S130 suppressed why=would-S130 but busy cool=130 flips=4 sameXz=31 child=CollectIronIngotTask cool=130 ban=130 hold=false pos=205,58,94 walls=4/4/4 sky=15 place=50 boxed=true hold=false cool=130 ban=130 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:49.9 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 2:54.6 S138 | shaft ban clear left-xz ban=205,94 now=207,94 manh=2 left=24 | pillar state machine: check ban column vs actual shaft column
FAULT 2:55.7 S134 | pillar cool expire after flips=3 end=risen y=64 startY=60 | pillar state machine: check ban column vs actual shaft column
FAULT 2:55.8 S138 | shaft ban clear left-xz ban=205,94 now=213,95 manh=9 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 3:00.8 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=222,62,95 walls=4/4/4 sky=15 place=49 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:02.6 E100 | jumps=11 @222,65,95 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:02.7 S139 | rise confirmed +4y y=66 startY=62 pos=222,66,95 walls=0/0/0 sky=15 place=47 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 3:02.7 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=222,95 pos=222,66,95 walls=0/0/0 sky=15 place=47 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 3:02.7 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=222,66,95 walls=0/0/0 sky=15 place=47 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 3:06.0 S135 | S130 suppressed why=would-S130 but busy cool=14 flips=6 sameXz=66 child=CollectIronIngotTask cool=14 ban=14 hold=false pos=222,62,95 walls=4/4/4 sky=15 place=49 boxed=true hold=false cool=14 ban=14 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:06.0 S100 | stop jump-walk @222,95 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:06.3 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 3:06.7 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 3:06.7 S137 | re-cool still-boxed@222,95 n=1 ticks=160 end=risen y=66 startY=62 pos=222,62,95 walls=4/4/4 sky=15 place=50 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:08.1 S135 | S130 suppressed why=would-S130 but busy cool=132 flips=3 sameXz=29 child=CollectIronIngotTask cool=132 ban=132 hold=false pos=222,60,95 walls=4/4/4 sky=15 place=51 boxed=true hold=false cool=132 ban=132 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:09.0 E100 | jumps=6 @222,59,95 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:09.2 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 3:12.7 S138 | shaft ban clear left-xz ban=222,95 now=224,95 manh=2 left=40 | pillar state machine: check ban column vs actual shaft column
