FAULT 6:28.2 S135 | S130 suppressed why=would-S130 but busy cool=35 flips=6 sameXz=45 child=CollectIronIngotTask cool=35 ban=35 hold=false pos=-310,62,132 walls=4/4/4 sky=15 place=13 boxed=true hold=false cool=35 ban=35 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:28.2 S100 | stop jump-walk @-310,132 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:28.6 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 6:30.0 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 6:30.0 S137 | re-cool still-boxed@-310,132 n=1 ticks=160 end=risen y=66 startY=62 pos=-310,61,132 walls=4/4/4 sky=15 place=14 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:31.0 S135 | S130 suppressed why=would-S130 but busy cool=140 flips=3 sameXz=21 child=CollectIronIngotTask cool=140 ban=140 hold=false pos=-310,59,132 walls=4/4/4 sky=15 place=15 boxed=true hold=false cool=140 ban=140 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:32.6 E100 | jumps=6 @-310,58,132 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:32.8 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 6:37.0 S138 | shaft ban clear left-xz ban=-310,132 now=-312,132 manh=2 left=21 | pillar state machine: check ban column vs actual shaft column
FAULT 6:38.0 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 6:38.0 S138 | shaft ban clear left-xz ban=-310,132 now=-316,132 manh=6 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 6:43.9 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-331,62,133 walls=4/4/4 sky=15 place=12 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:45.8 S139 | rise confirmed +4y y=66 startY=62 pos=-331,66,133 walls=0/0/0 sky=15 place=9 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 6:45.8 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=-331,133 pos=-331,66,133 walls=0/0/0 sky=15 place=9 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 6:45.8 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=-331,66,133 walls=0/0/0 sky=15 place=9 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 6:46.6 E100 | jumps=13 @-331,64,133 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:48.0 S135 | S130 suppressed why=would-S130 but busy cool=35 flips=6 sameXz=45 child=CollectIronIngotTask cool=35 ban=35 hold=false pos=-331,62,133 walls=4/4/4 sky=15 place=11 boxed=true hold=false cool=35 ban=35 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:48.0 S100 | stop jump-walk @-331,133 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:48.4 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 6:49.8 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 6:49.8 S137 | re-cool still-boxed@-331,133 n=1 ticks=160 end=risen y=66 startY=62 pos=-331,61,133 walls=4/4/4 sky=15 place=12 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:51.8 S135 | S130 suppressed why=would-S130 but busy cool=120 flips=2 sameXz=41 child=CollectIronIngotTask cool=120 ban=120 hold=false pos=-331,60,133 walls=4/4/4 sky=15 place=12 boxed=true hold=false cool=120 ban=120 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:53.3 E100 | jumps=6 @-331,58,133 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:53.5 S100 | stop jump-walk @-331,133 ph=IRON child=CollectIronIngotTask esc=1 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:53.5 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 6:57.4 S138 | shaft ban clear left-xz ban=-331,133 now=-333,133 manh=2 left=8 | pillar state machine: check ban column vs actual shaft column
FAULT 6:57.8 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 6:57.8 S138 | shaft ban clear left-xz ban=-331,133 now=-334,133 manh=3 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 7:06.1 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-353,62,139 walls=4/4/4 sky=15 place=9 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:08.0 S139 | rise confirmed +4y y=66 startY=62 pos=-353,66,139 walls=0/0/0 sky=15 place=6 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 7:08.0 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=-353,139 pos=-353,66,139 walls=0/0/0 sky=15 place=6 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 7:08.0 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=-353,66,139 walls=0/0/0 sky=15 place=6 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 7:08.8 E100 | jumps=13 @-353,64,139 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:10.2 S135 | S130 suppressed why=would-S130 but busy cool=35 flips=6 sameXz=45 child=CollectIronIngotTask cool=35 ban=35 hold=false pos=-353,62,139 walls=4/4/4 sky=15 place=8 boxed=true hold=false cool=35 ban=35 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:10.2 S100 | stop jump-walk @-353,139 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:10.6 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 7:12.0 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 7:12.0 S137 | re-cool still-boxed@-353,139 n=1 ticks=160 end=risen y=66 startY=62 pos=-353,61,139 walls=4/4/4 sky=15 place=9 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:13.6 S135 | S130 suppressed why=would-S130 but busy cool=128 flips=3 sameXz=33 child=CollectIronIngotTask cool=128 ban=128 hold=false pos=-353,59,139 walls=4/4/4 sky=15 place=9 boxed=true hold=false cool=128 ban=128 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:15.2 E100 | jumps=6 @-353,58,139 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
