FAULT 0:07.9 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 3:11.1 S100 | stop jump-walk @-243,189 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:11.2 S135 | S130 suppressed why=would-S130 but busy cool=4 flips=0 sameXz=76 child=CollectIronIngotTask cool=4 ban=4 hold=false pos=-243,63,189 walls=4/4/3 sky=5 place=42 boxed=true hold=false cool=4 ban=4 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:11.4 S134 | pillar cool expire after flips=3 end=risen y=67 startY=63 | pillar state machine: check ban column vs actual shaft column
FAULT 3:11.4 S137 | re-cool still-boxed@-243,189 n=1 ticks=160 end=risen y=67 startY=63 pos=-243,63,189 walls=4/4/3 sky=5 place=42 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:14.1 S138 | shaft ban clear left-xz ban=-243,189 now=-242,188 manh=2 left=107 | pillar state machine: check ban column vs actual shaft column
FAULT 3:19.4 S134 | pillar cool expire after flips=3 end=risen y=67 startY=63 | pillar state machine: check ban column vs actual shaft column
FAULT 3:19.4 S138 | shaft ban clear left-xz ban=-243,189 now=-239,181 manh=12 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 3:20.5 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-239,54,181 walls=4/4/4 sky=0 place=47 boxed=true hold=false cool=0 ban=0 startY=54 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:23.0 S133 | cool arm ticks=240 reason=stuck-low step=50 y=56 startY=54 ban=-239,181 pos=-239,56,181 walls=3/2/4 sky=0 place=46 boxed=false hold=true cool=240 ban=240 startY=54 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 3:23.0 S136 | END reason=stuck-low step=50 y=56 startY=54 roseReal=false giveUp=true pos=-239,56,181 walls=3/2/4 sky=0 place=46 boxed=false hold=true cool=240 ban=240 startY=54 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 3:23.4 E100 | jumps=14 @-239,56,181 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:25.1 S135 | S130 suppressed why=would-S130 but busy cool=197 flips=3 sameXz=43 child=CollectIronIngotTask cool=197 ban=197 hold=false pos=-239,54,181 walls=4/4/4 sky=0 place=47 boxed=true hold=false cool=197 ban=197 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:26.2 S100 | stop jump-walk @-239,181 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:27.2 S135 | S130 suppressed why=would-S130 but busy cool=156 flips=0 sameXz=84 child=CollectIronIngotTask cool=156 ban=156 hold=false pos=-239,53,181 walls=4/4/4 sky=0 place=49 boxed=true hold=false cool=156 ban=156 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:35.0 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=56 startY=54 | pillar state machine: check ban column vs actual shaft column
FAULT 3:40.5 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=2 pos=-239,54,181 walls=4/4/3 sky=0 place=48 boxed=true hold=false cool=0 ban=0 startY=54 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:40.8 E100 | jumps=6 @-239,54,181 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:41.5 S130 | tick y=56 slot=1 air=true pos=-239,56,181 walls=3/2/4 sky=0 place=46 boxed=false hold=true cool=0 ban=0 startY=54 step=21 | pillar state machine: check ban column vs actual shaft column
FAULT 3:43.0 S133 | cool arm ticks=240 reason=stuck-low step=50 y=56 startY=54 ban=-239,181 pos=-239,56,181 walls=3/2/4 sky=0 place=45 boxed=false hold=true cool=240 ban=240 startY=54 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 3:43.0 S136 | END reason=stuck-low step=50 y=56 startY=54 roseReal=false giveUp=true pos=-239,56,181 walls=3/2/4 sky=0 place=45 boxed=false hold=true cool=240 ban=240 startY=54 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 3:43.4 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 3:43.6 S138 | shaft ban clear left-xz ban=-239,181 now=-240,180 manh=2 left=229 | pillar state machine: check ban column vs actual shaft column
FAULT 3:48.9 S135 | S130 suppressed why=would-S130 but busy cool=123 flips=3 sameXz=15 child=CollectIronIngotTask cool=123 ban=0 hold=false pos=-243,65,189 walls=4/4/3 sky=7 place=42 boxed=true hold=false cool=123 ban=0 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:49.6 S109 | equip pick for mining (was holding dirt) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 3:49.9 S120 | craft-gui jump @-243,67,189 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 3:55.0 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=56 startY=54 | pillar state machine: check ban column vs actual shaft column
FAULT 3:55.1 S138 | shaft ban clear left-xz ban=-239,181 now=-242,189 manh=11 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 3:59.0 S120 | craft-gui jump @-242,66,189 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:05.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:30.9 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 4:32.9 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 4:35.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:39.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 4:41.0 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 4:41.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:49.1 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 4:49.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 4:53.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:57.2 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 4:59.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
